item_id,restaurant_id,item_name,macro_category,price,is_veg,prep_time_tier,flavor_profile,temperature_state,portion_size,health_index,allergen_tags,packaging_compatibility,restaurant_item_attach
PFC_075,PFC,Red Sauce Pasta (Non-Veg),Main_Course,159,0,Standard,Savory,Hot,Single_Serve,Indulgent,"[Gluten, Dairy]",0,0.05
PFC_076,PFC,Aaloo Tikki Burger,Main_Course,89,1,Fast,Savory,Hot,Single_Serve,Indulgent,[Gluten],1,0.08
PFC_077,PFC,Aaloo Tikki Burger Combo,Main_Course,159,1,Fast,Savory,Hot,Single_Serve,Indulgent,[Gluten],1,0.01
PFC_078,PFC,Crunchy Chicken Burger,Main_Course,149,0,Fast,Savory,Hot,Single_Serve,Indulgent,[Gluten],1,0.08
PFC_079,PFC,Crunchy Chicken Burger Combo,Main_Course,219,0,Fast,Savory,Hot,Single_Serve,Indulgent,[Gluten],1,0.01
PFC_080,PFC,Fish Burger,Main_Course,159,0,Fast,Savory,Hot,Single_Serve,High_Protein,"[Gluten, Seafood]",1,0.08
PFC_081,PFC,"Margherita Pizza (8"" Regular)",Main_Course,229,1,Standard,Savory,Hot,Sharing,Indulgent,"[Gluten, Dairy]",1,0.05
PFC_082,PFC,"Double Cheese Margherita (8"" Regular)",Main_Course,269,1,Standard,Savory,Hot,Sharing,Indulgent,"[Gluten, Dairy]",1,0.04
PFC_083,PFC,"Peppy Paneer Pizza (8"" Regular)",Main_Course,299,1,Standard,Spicy,Hot,Sharing,Indulgent,"[Gluten, Dairy]",1,0.05
PFC_084,PFC,"Chicken Tikka Pizza (8"" Regular)",Main_Course,299,0,Standard,Spicy,Hot,Sharing,Indulgent,"[Gluten, Dairy]",1,0.05
PFC_085,PFC,"Hot Chicken Pizza (8"" Regular)",Main_Course,299,0,Standard,Spicy,Hot,Sharing,Indulgent,"[Gluten, Dairy]",1,0.05
PFC_086,PFC,"Chicken Golden Delight (8"" Regular)",Main_Course,299,0,Standard,Savory,Hot,Sharing,Indulgent,"[Gluten, Dairy]",1,0.05
PFC_087,PFC,Clear Soup (Veg),Starter,79,1,Fast,Savory,Hot,Single_Serve,Low_Calorie,[],0,0.15
PFC_088,PFC,Manchow Soup (Chicken),Starter,129,0,Fast,Spicy,Hot,Single_Serve,High_Protein,[],0,0.18
PFC_089,PFC,Cream of Tomato Soup,Starter,89,1,Fast,Sweet,Hot,Single_Serve,Low_Calorie,[Dairy],0,0.12
PFC_090,PFC,Tandoor Chicken (Half),Starter,249,0,Slow,Spicy,Hot,Sharing,High_Protein,[Dairy],1,0.05
PFC_091,PFC,Chicken Tikka Kabab (6pcs),Starter,229,0,Standard,Spicy,Hot,Sharing,High_Protein,[Dairy],1,0.1
PFC_092,PFC,Paneer Tikka Kabab (6pcs),Starter,219,1,Standard,Spicy,Hot,Sharing,High_Protein,[Dairy],1,0.1
PFC_093,PFC,Veg Manchurian (Dry),Starter,169,1,Standard,Savory,Hot,Sharing,Indulgent,[Gluten],1,0.12
PFC_094,PFC,Mushroom Chilli (Dry),Starter,169,1,Standard,Spicy,Hot,Sharing,Low_Calorie,[Gluten],1,0.1
PFC_095,PFC,Paneer 65 (6 pcs),Starter,209,1,Standard,Spicy,Hot,Sharing,High_Protein,"[Dairy, Gluten]",1,0.12
PFC_096,PFC,Honey Chilli Potato,Starter,159,1,Fast,Sweet,Hot,Sharing,Indulgent,[Gluten],1,0.15
PFC_097,PFC,French Fries,Starter,119,1,Fast,Savory,Hot,Single_Serve,Indulgent,[],1,0.45
PFC_098,PFC,Chicken 65 (6pcs),Starter,239,0,Standard,Spicy,Hot,Sharing,High_Protein,[Gluten],1,0.12
PFC_099,PFC,Chicken Lollipop (6pcs),Starter,229,0,Standard,Spicy,Hot,Sharing,High_Protein,[Gluten],1,0.15
PFC_100,PFC,Dragon Chicken (6pcs),Starter,239,0,Standard,Spicy,Hot,Sharing,High_Protein,[Gluten],1,0.1
PFC_101,PFC,Hot and Crispy Chicken (1pcs),Starter,109,0,Fast,Savory,Hot,Single_Serve,Indulgent,[Gluten],1,0.2
PFC_102,PFC,Boneless Strips (6pcs),Starter,199,0,Fast,Savory,Hot,Sharing,High_Protein,[Gluten],1,0.15
PFC_103,PFC,Strip Meal,Main_Course,189,0,Fast,Savory,Hot,Single_Serve,Indulgent,[Gluten],1,0.01
PFC_104,PFC,Chicken Bucket (4pcs),Main_Course,349,0,Standard,Savory,Hot,Sharing,Indulgent,[Gluten],1,0.04
PFC_105,PFC,PFC Special Meal,Main_Course,869,0,Standard,Savory,Hot,Family_Pack,Indulgent,"[Gluten, Dairy]",1,0.01
PFC_106,PFC,Cheese Dip,Accompaniment,25,1,Fast,Savory,Cold,Single_Serve,Indulgent,[Dairy],1,0.8
PFC_107,PFC,Peri Peri Dip,Accompaniment,25,1,Fast,Spicy,Cold,Single_Serve,Indulgent,[],1,0.7
PFC_108,PFC,Mayo Dip,Accompaniment,20,1,Fast,Savory,Cold,Single_Serve,Indulgent,[Egg],1,0.75
PFC_109,PFC,Schezwan Chutney,Accompaniment,25,1,Fast,Spicy,Cold,Single_Serve,Low_Calorie,[],1,0.65
